player,player_num,position,height,weight,birthdate,country,experience,college,team_stat_ranking,age,games,games_started,minutes_played,field_goals,field_goal_attempts,field_goal_percent,points3,points3_attempts,points3_percent,points2,points2_attempts,points2_percent,effective_field_goal_percent,free_throws,free_throw_attempts,free_throw_percent,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls,points,team_salary_ranking,salary,team
Andrea Bargnani,9,center,84,245,10/26/85,it,9,NA,11,30,46,0,634,127,279,0.455,3,16,0.188,124,263,0.471,0.461,47,57,0.825,28,69,97,18,4,9,26,61,304,10,1362900,BRK
Bojan Bogdanovic,44,small forward,80,216,4/18/89,ba,1,NA,3,26,79,39,2115,324,749,0.433,129,338,0.382,195,411,0.474,0.519,110,132,0.833,36,219,255,99,29,5,115,119,887,6,3425510,BRK
Brook Lopez,11,center,84,275,4/1/88,us,7,Stanford University,1,27,73,73,2457,591,1157,0.511,2,14,0.143,589,1143,0.515,0.512,317,403,0.787,204,369,573,147,58,124,175,215,1501,2,20000000,BRK
Chris McCullough,1,power forward,83,200,2/5/95,us,0,Syracuse University,16,20,24,4,362,44,109,0.404,13,34,0.382,31,75,0.413,0.463,11,23,0.478,25,43,68,9,28,12,15,39,112,12,1140240,BRK
Donald Sloan,15,point guard,75,205,1/15/88,us,4,Texas A&M University,7,28,61,33,1318,154,350,0.44,38,99,0.384,116,251,0.462,0.494,78,104,0.75,17,156,173,268,32,4,80,73,424,13,1015421,BRK
Henry Sims,14,center,82,248,3/27/90,us,3,Georgetown University,17,25,14,4,263,33,77,0.429,0,0,NA,33,77,0.429,0.429,25,30,0.833,21,51,72,9,9,14,12,37,91,18,161622,BRK
Jarrett Jack,2,point guard,75,200,10/28/83,us,10,Georgia Institute of Technology,8,32,32,32,1027,140,358,0.391,31,102,0.304,109,256,0.426,0.434,100,112,0.893,9,127,136,236,34,7,94,77,411,4,6300000,BRK
Joe Johnson,7,small forward,79,240,6/29/81,us,14,University of Arkansas,4,34,57,57,1934,247,608,0.406,85,229,0.371,162,379,0.427,0.476,92,108,0.852,34,190,224,232,40,2,116,100,671,1,24894863,BRK
Markel Brown,22,shooting guard,75,190,1/29/92,us,1,Oklahoma State University,9,24,62,6,982,127,322,0.394,38,121,0.314,89,201,0.443,0.453,71,94,0.755,23,99,122,91,38,15,54,94,363,16,845059,BRK
Rondae Hollis-Jefferson,24,small forward,79,220,1/3/95,us,0,University of Arizona,12,21,29,17,615,63,138,0.457,4,14,0.286,59,124,0.476,0.471,37,52,0.712,39,115,154,43,39,16,26,61,167,11,1335480,BRK
Sean Kilpatrick,6,shooting guard,76,210,1/6/90,us,1,University of Cincinnati,13,26,23,0,534,115,249,0.462,35,97,0.361,80,152,0.526,0.532,53,59,0.898,10,40,50,26,10,2,27,30,318,17,320594,BRK
Sergey Karasev,10,small forward,79,208,10/26/93,ru,2,NA,15,22,40,5,399,30,74,0.405,11,37,0.297,19,37,0.514,0.48,26,28,0.929,8,50,58,35,6,2,22,27,97,7,1599840,BRK
Shane Larkin,0,point guard,71,175,10/2/92,us,2,University of Miami,5,23,78,17,1751,222,502,0.442,39,108,0.361,183,394,0.464,0.481,83,107,0.776,28,152,180,342,95,12,146,121,566,8,1500000,BRK
Thaddeus Young,30,power forward,80,221,6/21/88,us,8,Georgia Institute of Technology,2,27,73,73,2407,495,963,0.514,7,30,0.233,488,933,0.523,0.518,105,163,0.644,176,484,660,135,112,37,136,182,1102,3,11200000,BRK
Thomas Robinson,41,power forward,82,237,3/17/91,us,3,University of Kansas,10,24,71,7,917,130,291,0.447,0,1,0,130,290,0.448,0.447,47,109,0.431,136,223,359,46,39,36,69,111,307,14,981300,BRK
Wayne Ellington,21,shooting guard,76,200,10/29/87,us,6,University of North Carolina,6,28,76,41,1615,218,561,0.389,96,268,0.358,122,293,0.416,0.474,54,63,0.857,20,154,174,83,48,5,45,82,586,9,1500000,BRK
Willie Reed,33,power forward,82,220,5/16/90,us,0,Saint Louis University,14,25,39,2,426,76,133,0.571,0,0,NA,76,133,0.571,0.571,30,55,0.545,49,73,122,10,6,30,16,47,182,15,947276,BRK
Aaron Brooks,0,point guard,72,161,1/14/85,us,7,University of Oregon,9,31,69,0,1108,188,469,0.401,66,185,0.357,122,284,0.43,0.471,49,64,0.766,21,80,101,180,30,10,82,132,491,9,2000000,CHI
Bobby Portis,5,power forward,83,230,2/10/95,us,0,University of Arkansas,10,20,62,4,1102,186,436,0.427,16,52,0.308,170,384,0.443,0.445,48,66,0.727,123,214,337,52,25,22,54,100,436,11,1391160,CHI
Cameron Bairstow,41,center,81,250,12/7/90,au,1,University of New Mexico,16,25,18,2,103,13,40,0.325,1,5,0.2,12,35,0.343,0.338,7,8,0.875,4,24,28,6,2,3,4,19,34,14,845059,CHI
Cristiano Felicio,6,center,82,275,7/7/92,br,0,NA,15,23,31,4,321,40,72,0.556,0,4,0,40,68,0.588,0.556,25,35,0.714,30,72,102,26,6,13,13,31,105,15,525090,CHI
Derrick Rose,1,point guard,75,190,10/4/88,us,6,University of Memphis,3,27,66,66,2097,447,1048,0.427,44,150,0.293,403,898,0.449,0.448,142,179,0.793,46,179,225,311,44,14,175,84,1080,1,20093063,CHI
Doug McDermott,3,small forward,80,225,1/3/92,us,1,Creighton University,5,24,81,4,1861,291,644,0.452,110,259,0.425,181,385,0.47,0.537,72,84,0.857,37,158,195,59,14,6,53,127,764,8,2380440,CHI
E'Twaun Moore,55,shooting guard,76,191,2/28/89,us,4,Purdue University,8,26,59,22,1263,187,389,0.481,47,104,0.452,140,285,0.491,0.541,22,35,0.629,19,114,133,99,37,18,53,103,443,12,1015421,CHI
Jimmy Butler,21,shooting guard,79,220,9/14/89,us,4,Marquette University,1,26,67,67,2474,470,1035,0.454,64,205,0.312,406,830,0.489,0.485,395,475,0.832,79,279,358,321,110,43,132,124,1399,2,15260000,CHI
Joakim Noah,13,center,83,230,2/25/85,us,8,University of Florida,12,30,29,2,635,51,133,0.383,0,1,0,51,132,0.386,0.383,22,45,0.489,87,168,255,110,18,29,52,77,124,3,13400000,CHI
Justin Holiday,7,shooting guard,78,185,4/5/89,us,2,University of Washington,14,26,27,4,510,64,155,0.413,26,60,0.433,38,95,0.4,0.497,22,27,0.815,8,55,63,45,19,15,26,40,176,13,947300,CHI
Kirk Hinrich,12,point guard,76,190,1/2/81,us,12,University of Kansas,13,35,35,7,555,47,118,0.398,23,56,0.411,24,62,0.387,0.496,15,16,0.938,7,51,58,59,13,1,27,63,132,NA,NA,CHI
Mike Dunleavy,34,small forward,81,230,9/15/80,us,13,Duke University,11,35,31,30,703,77,188,0.41,39,99,0.394,38,89,0.427,0.513,29,37,0.784,8,75,83,39,14,10,26,66,222,7,4500000,CHI
Nikola Mirotic,44,power forward,82,220,2/11/91,me,1,NA,6,24,66,38,1646,248,609,0.407,135,346,0.39,113,263,0.43,0.518,146,181,0.807,58,304,362,100,58,46,102,151,777,6,5543725,CHI
Pau Gasol,16,center,84,250,7/6/80,es,14,NA,2,35,72,72,2291,467,995,0.469,24,69,0.348,443,926,0.478,0.481,229,289,0.792,155,638,793,294,42,146,164,148,1187,5,7448760,CHI
Taj Gibson,22,power forward,81,225,6/24/85,us,6,University of Southern California,4,30,73,55,1936,263,500,0.526,0,3,0,263,497,0.529,0.526,101,146,0.692,206,298,504,106,47,77,78,180,627,4,8500000,CHI
Tony Snell,20,small forward,79,200,11/10/91,us,2,University of New Mexico,7,24,64,33,1301,126,339,0.372,56,155,0.361,70,184,0.38,0.454,30,33,0.909,19,180,199,63,16,17,52,100,338,10,1535880,CHI
Aaron Harrison,9,shooting guard,78,210,10/28/94,us,0,University of Kentucky,16,21,21,0,93,5,19,0.263,3,10,0.3,2,9,0.222,0.342,5,12,0.417,4,11,15,2,6,0,4,10,18,14,525093,CHO
Al Jefferson,25,center,82,289,1/4/85,us,11,NA,8,31,47,18,1096,245,505,0.485,0,0,NA,245,505,0.485,0.485,72,111,0.649,57,244,301,70,30,41,34,117,562,1,13833333,CHO
Brian Roberts,22,point guard,73,173,12/3/85,us,3,University of Dayton,14,30,30,0,333,51,115,0.443,9,27,0.333,42,88,0.477,0.483,34,37,0.919,4,25,29,38,7,1,16,23,145,NA,NA,CHO
Cody Zeller,40,center,84,240,10/5/92,us,2,Indiana University,5,23,73,60,1774,231,437,0.529,1,10,0.1,230,427,0.539,0.53,175,232,0.754,138,317,455,71,57,63,68,204,638,8,4204200,CHO
Courtney Lee,1,shooting guard,77,200,10/3/85,us,7,Western Kentucky University,11,30,28,28,845,98,220,0.445,31,79,0.392,67,141,0.475,0.516,23,26,0.885,10,77,87,60,33,12,23,55,250,6,5675000,CHO
Frank Kaminsky,44,center,84,242,4/4/93,us,0,University of Wisconsin,6,22,81,3,1708,215,525,0.41,68,202,0.337,147,323,0.455,0.474,108,148,0.73,69,266,335,98,38,43,58,126,606,10,2612500,CHO
Jeremy Lamb,3,shooting guard,77,185,5/30/92,us,3,University of Connecticut,7,23,66,0,1227,230,510,0.451,56,181,0.309,174,329,0.529,0.506,64,88,0.727,44,208,252,77,42,30,50,105,580,9,3034356,CHO
Jeremy Lin,7,shooting guard,75,200,8/23/88,us,5,Harvard University,4,27,78,13,2048,300,728,0.412,76,226,0.336,224,502,0.446,0.464,238,292,0.815,42,211,253,235,58,42,150,165,914,11,2100000,CHO
Jorge Gutierrez,12,point guard,75,191,12/27/88,mx,2,University of California,17,27,12,0,63,6,11,0.545,0,2,0,6,9,0.667,0.545,10,11,0.909,0,7,7,17,3,0,6,3,22,15,301444,CHO
Kemba Walker,15,point guard,73,172,5/8/90,us,4,University of Connecticut,1,25,81,81,2885,568,1331,0.427,182,490,0.371,386,841,0.459,0.495,371,438,0.847,56,301,357,421,126,39,171,111,1689,3,12000000,CHO
Marvin Williams,2,power forward,81,237,6/19/86,us,10,University of North Carolina,3,29,81,81,2338,338,747,0.452,152,378,0.402,186,369,0.504,0.554,120,144,0.833,127,394,521,110,58,77,62,133,948,4,7000000,CHO
Michael Kidd-Gilchrist,14,small forward,79,232,9/26/93,us,3,University of Kentucky,15,22,7,7,205,33,61,0.541,3,7,0.429,30,54,0.556,0.566,20,29,0.69,12,33,45,9,3,3,8,9,89,5,6331404,CHO
Nicolas Batum,5,small forward,80,200,12/14/88,fr,7,NA,2,27,70,70,2448,372,873,0.426,139,399,0.348,233,474,0.492,0.506,163,192,0.849,55,373,428,403,65,43,205,114,1046,2,12235750,CHO
P.J. Hairston,19,small forward,78,230,12/24/92,us,1,University of North Carolina,10,23,48,43,938,99,276,0.359,54,172,0.314,45,104,0.433,0.457,34,42,0.81,18,110,128,29,24,7,24,106,286,NA,NA,CHO
Spencer Hawes,0,power forward,85,245,4/28/88,us,8,University of Washington,9,27,57,6,1035,124,306,0.405,38,102,0.373,86,204,0.422,0.467,54,65,0.831,51,193,244,109,22,27,58,111,340,7,5543725,CHO
Troy Daniels,30,shooting guard,76,205,7/15/91,us,2,Virginia Commonwealth University,12,24,43,0,476,89,187,0.476,59,122,0.484,30,65,0.462,0.634,5,9,0.556,7,50,57,21,11,3,24,40,242,13,947276,CHO
Tyler Hansbrough,50,power forward,81,250,11/3/85,us,6,University of North Carolina,13,30,44,0,343,32,71,0.451,2,3,0.667,30,68,0.441,0.465,38,65,0.585,40,49,89,8,12,7,12,55,104,12,1185784,CHO
Anderson Varejao,17,center,82,273,9/28/82,br,11,NA,14,33,31,0,310,32,76,0.421,0,1,0,32,75,0.427,0.421,16,21,0.762,24,67,91,20,11,5,16,35,80,NA,NA,CLE
Channing Frye,9,center,83,255,5/17/83,us,9,University of Arizona,12,32,26,3,446,71,161,0.441,43,114,0.377,28,47,0.596,0.575,11,14,0.786,12,81,93,26,8,8,13,56,196,6,7807579,CLE
Dahntay Jones,30,small forward,78,225,12/27/80,us,11,Duke University,17,35,1,0,42,6,14,0.429,1,2,0.5,5,12,0.417,0.464,0,0,NA,1,4,5,2,1,2,0,6,13,15,8819,CLE
Iman Shumpert,4,shooting guard,77,220,6/26/90,us,4,Georgia Institute of Technology,9,25,54,5,1316,114,305,0.374,43,146,0.295,71,159,0.447,0.444,40,51,0.784,32,171,203,92,54,19,57,119,311,5,9000000,CLE
J.R. Smith,5,shooting guard,78,225,9/9/85,us,11,NA,3,30,77,77,2362,353,850,0.415,204,510,0.4,149,340,0.438,0.535,45,71,0.634,43,174,217,130,81,21,59,204,955,7,5000000,CLE
James Jones,1,small forward,80,218,10/4/80,us,12,University of Miami,11,35,48,0,463,58,142,0.408,41,104,0.394,17,38,0.447,0.553,21,26,0.808,8,42,50,14,11,10,13,50,178,10,1499000,CLE
Jared Cunningham,9,shooting guard,76,195,5/22/91,us,3,Oregon State University,13,24,40,3,355,32,91,0.352,10,32,0.313,22,59,0.373,0.407,30,48,0.625,3,26,29,19,12,2,18,37,104,NA,NA,CLE
Joe Harris,12,shooting guard,78,219,9/7/91,us,1,University of Virginia,18,24,5,0,15,1,4,0.25,1,4,0.25,0,0,NA,0.375,0,0,NA,0,3,3,2,0,0,1,1,3,NA,NA,CLE
Jordan McRae,12,point guard,78,185,3/28/91,us,0,University of Tennessee,15,24,15,1,113,23,52,0.442,7,11,0.636,16,41,0.39,0.51,9,13,0.692,2,10,12,15,0,1,9,10,62,14,172972,CLE
Kevin Love,0,power forward,82,251,9/7/88,us,7,"University of California, Los Angeles",2,27,77,77,2424,409,977,0.419,158,439,0.36,251,538,0.467,0.499,258,314,0.822,149,613,762,186,58,41,142,159,1234,2,19500000,CLE
Kyrie Irving,2,point guard,75,193,3/23/92,au,4,Duke University,6,23,53,53,1667,394,879,0.448,84,262,0.321,310,617,0.502,0.496,169,191,0.885,44,113,157,249,56,18,124,107,1041,3,14746000,CLE
LeBron James,23,small forward,80,250,12/30/84,us,12,NA,1,31,76,76,2709,737,1416,0.52,87,282,0.309,650,1134,0.573,0.551,359,491,0.731,111,454,565,514,104,49,249,143,1920,1,22971000,CLE
Matthew Dellavedova,8,point guard,76,198,9/8/90,au,2,Saint Mary's College of California,5,25,76,14,1867,207,511,0.405,98,239,0.41,109,272,0.401,0.501,57,66,0.864,33,129,162,337,44,9,116,178,569,13,1147280,CLE
Mo Williams,52,point guard,73,198,12/19/82,us,12,University of Alabama,10,33,41,14,748,132,302,0.437,36,102,0.353,96,200,0.48,0.497,38,42,0.905,6,66,72,98,14,5,57,60,338,9,2100000,CLE
Richard Jefferson,24,small forward,79,233,6/21/80,us,14,University of Arizona,8,35,74,5,1326,143,312,0.458,66,173,0.382,77,139,0.554,0.564,58,87,0.667,15,113,128,59,33,14,43,129,410,11,1499000,CLE
Sasha Kaun,14,center,83,260,5/8/85,ru,0,University of Kansas,16,30,25,0,95,9,17,0.529,0,0,NA,9,17,0.529,0.529,5,11,0.455,12,14,26,3,4,5,7,11,23,12,1300000,CLE
Timofey Mozgov,20,center,85,275,7/16/86,ru,5,NA,7,29,76,48,1326,203,359,0.565,1,7,0.143,202,352,0.574,0.567,68,95,0.716,110,227,337,33,22,57,71,159,475,8,4950000,CLE
Tristan Thompson,13,power forward,81,238,3/13/91,ca,4,University of Texas at Austin,4,24,82,34,2269,247,420,0.588,0,0,NA,247,420,0.588,0.588,149,242,0.616,268,470,738,62,38,51,61,202,643,4,14260870,CLE
Chandler Parsons,25,small forward,82,230,10/25/88,us,4,University of Florida,6,27,61,51,1799,320,651,0.492,104,251,0.414,216,400,0.54,0.571,93,136,0.684,29,256,285,169,46,21,95,114,837,2,15361500,DAL
Charlie Villanueva,3,power forward,83,232,8/24/84,us,10,University of Connecticut,10,31,62,4,665,125,327,0.382,47,172,0.273,78,155,0.503,0.454,22,24,0.917,24,128,152,24,18,15,31,71,319,10,1499187,DAL
David Lee,42,power forward,81,245,4/29/83,us,10,University of Florida,12,32,25,1,433,91,143,0.636,0,0,NA,91,143,0.636,0.636,31,42,0.738,60,115,175,30,10,15,28,63,213,9,2102224,DAL
Deron Williams,8,point guard,75,200,6/26/84,us,10,University of Illinois at Urbana-Champaign,4,31,65,63,2106,321,775,0.414,97,282,0.344,224,493,0.454,0.477,179,206,0.869,19,171,190,378,61,14,150,155,918,4,5500000,DAL
Devin Harris,34,point guard,75,192,2/27/83,us,11,University of Wisconsin,8,32,64,0,1280,167,374,0.447,52,158,0.329,115,216,0.532,0.516,101,140,0.721,18,120,138,118,60,13,66,124,487,6,4053000,DAL
Dirk Nowitzki,41,power forward,84,245,6/19/78,de,17,NA,2,37,75,75,2364,498,1112,0.448,126,342,0.368,372,770,0.483,0.504,250,280,0.893,52,437,489,132,52,52,84,161,1372,3,8333334,DAL
Dwight Powell,7,power forward,83,240,7/20/91,ca,1,Stanford University,9,24,69,2,992,146,296,0.493,2,16,0.125,144,280,0.514,0.497,105,142,0.739,84,189,273,44,36,24,40,118,399,15,845059,DAL
J.J. Barea,5,point guard,72,185,6/26/84,pr,9,Northeastern University,7,31,74,16,1667,317,711,0.446,100,260,0.385,217,451,0.481,0.516,74,96,0.771,26,126,152,302,26,2,113,110,808,7,4000000,DAL
JaVale McGee,11,center,84,270,1/19/88,us,7,"University of Nevada, Reno",14,28,34,2,370,77,134,0.575,0,1,0,77,133,0.579,0.575,18,36,0.5,53,80,133,3,5,26,21,49,172,13,1270964,DAL
Jeremy Evans,21,small forward,81,200,10/24/87,us,5,Western Kentucky University,15,28,30,2,251,26,48,0.542,4,16,0.25,22,32,0.688,0.583,15,21,0.714,11,43,54,2,6,9,7,19,71,14,1100602,DAL
John Jenkins,12,shooting guard,76,215,3/6/91,us,3,Vanderbilt University,16,24,21,1,193,29,70,0.414,3,19,0.158,26,51,0.51,0.436,8,9,0.889,4,18,22,9,3,0,11,11,69,NA,NA,DAL
Justin Anderson,1,small forward,78,228,11/19/93,us,0,University of Virginia,11,22,55,9,647,71,175,0.406,22,83,0.265,49,92,0.533,0.469,44,55,0.8,18,114,132,29,19,25,24,45,208,12,1449000,DAL
Raymond Felton,2,point guard,73,205,6/26/84,us,10,University of North Carolina,3,31,80,31,2192,277,682,0.406,60,213,0.282,217,469,0.463,0.45,149,176,0.847,36,222,258,284,68,15,121,141,763,8,3950313,DAL
Salah Mejri,50,center,85,245,6/15/86,tn,0,NA,13,29,34,6,397,49,78,0.628,0,1,0,49,77,0.636,0.628,27,46,0.587,41,82,123,10,8,36,23,54,125,17,525093,DAL
Wesley Matthews,23,shooting guard,77,220,10/14/86,us,6,Marquette University,1,29,78,78,2644,331,854,0.388,189,525,0.36,142,329,0.432,0.498,126,146,0.863,27,211,238,151,78,17,78,179,977,1,16400000,DAL
Zaza Pachulia,27,center,83,270,2/10/84,ge,12,NA,5,31,76,69,2004,219,470,0.466,0,3,0,219,467,0.469,0.466,212,276,0.768,249,469,718,128,64,22,119,181,650,5,5200000,DAL
Axel Toupane,6,small forward,79,197,7/23/92,fr,0,NA,16,23,21,0,305,25,70,0.357,13,40,0.325,12,30,0.4,0.45,13,17,0.765,8,23,31,15,7,6,6,40,76,20,123552,DEN
D.J. Augustin,12,point guard,72,183,11/10/87,us,7,University of Texas at Austin,11,28,28,0,659,102,229,0.445,44,107,0.411,58,122,0.475,0.541,77,94,0.819,3,49,52,132,25,2,54,44,325,9,3000000,DEN
Danilo Gallinari,8,small forward,82,225,8/8/88,it,6,NA,4,27,53,53,1839,287,700,0.41,87,239,0.364,200,461,0.434,0.472,375,432,0.868,52,229,281,135,42,19,77,87,1036,1,14000000,DEN
Darrell Arthur,0,power forward,81,235,3/25/88,us,6,University of Kansas,7,27,70,16,1516,221,489,0.452,45,117,0.385,176,372,0.473,0.498,40,53,0.755,86,207,293,96,53,48,66,185,527,10,2814000,DEN
Emmanuel Mudiay,0,point guard,77,200,3/5/96,cd,0,NA,3,19,68,66,2068,329,905,0.364,74,232,0.319,255,673,0.379,0.404,140,209,0.67,32,200,232,372,65,35,217,141,872,8,3102240,DEN
Erick Green,11,point guard,76,185,5/9/91,us,1,Virginia Polytechnic Institute and State University,19,24,3,0,7,0,1,0,0,1,0,0,0,NA,0,0,0,NA,0,1,1,1,0,0,0,0,0,21,100000,DEN
